song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo
Frankenstein - Single Version,The Edgar Winter Group,205560,0.511,0.892,0.00194,0.515,0.211,-9.695,0.183,0.288,95.725
"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,287506,0.555,0.902,0.337,0.0,0.152,-7.918,0.0958,0.62,156.108
Somebody Told Me,The Killers,197160,0.51,0.981,7.76e-05,0.00142,0.111,-3.191,0.0901,0.723,138.039
The Concept,Teenage Fanclub,367426,0.413,0.609,0.00577,0.204,0.171,-13.204,0.0344,0.509,111.62
The Trooper - 1998 Remaster,Iron Maiden,250946,0.288,0.864,0.0172,0.0567,0.541,-6.762,0.0673,0.621,162.233
Seven Come Eleven (feat. Benny Goodman & Charlie Christian),Benny Goodman Sextet,165800,0.703,0.72,0.727,0.016,0.185,-6.975,0.0292,0.823,115.688
Only You,Yazoo,192293,0.748,0.559,0.204,4.15e-05,0.0982,-8.078,0.0362,0.85,106.077
Sweet Disposition,The Temper Trap,234360,0.545,0.815,0.0803,0.193,0.116,-6.871,0.0437,0.284,129.126
Plastic Dreams - Original Mix,Jaydee,624693,0.771,0.535,0.148,0.227,0.0773,-11.83,0.047,0.253,128.85
Jackpot,Tocotronic,193640,0.33,0.876,3.03e-05,0.785,0.0752,-4.029,0.0297,0.558,90.66
Walking in Memphis,Marc Cohn,252613,0.567,0.512,0.545,0.0,0.296,-8.831,0.0357,0.334,130.271
In Your Head,Nilüfer Yanya,207632,0.571,0.517,0.00154,0.0,0.112,-6.757,0.033,0.465,132.996
I'll Stick Around,Foo Fighters,232533,0.306,0.985,0.00254,0.626,0.13,-6.687,0.0822,0.255,133.963
Natural One,Kids Original Motion Picture Soundtrack,189518,0.646,0.644,0.167,0.0111,0.0843,-9.504,0.0365,0.642,109.699
"Girls, Girls, Girls",Mötley Crüe,270426,0.6,0.931,0.0296,7.1e-05,0.392,-4.647,0.0734,0.542,140.123
Everybody Loves Somebody,Dean Martin,164546,0.366,0.391,0.854,0.0,0.352,-12.322,0.0425,0.461,119.182
Surfer Girl - Remastered,The Beach Boys,148533,0.522,0.37,0.651,0.0,0.142,-8.364,0.0253,0.653,105.826
Shattered,The Rolling Stones,227533,0.746,0.854,0.285,7.71e-06,0.112,-7.132,0.101,0.804,140.62
Save Me,Aimee Mann,274493,0.616,0.346,0.604,0.00232,0.0914,-10.438,0.0304,0.344,143.351
Okie From Muskogee,Merle Haggard,159506,0.698,0.45,0.546,1.27e-06,0.663,-10.746,0.0473,0.732,142.303
Jesus to a Child,George Michael,410640,0.541,0.412,0.325,0.000644,0.0836,-11.794,0.0277,0.181,173.638
Cherchez le garçon,Taxi Girl,251426,0.711,0.835,0.0217,0.0339,0.0855,-6.326,0.0341,0.959,143.269
Everyday - Single Version,Buddy Holly,128466,0.731,0.255,0.485,0.0,0.09,-11.732,0.0375,0.564,135.346
Queen Bitch - 1999 Remastered Version,David Bowie,195640,0.577,0.813,0.0019,0.0,0.0681,-7.479,0.0324,0.962,137.493
Sundown,Gordon Lightfoot,213400,0.794,0.427,0.334,1.04e-05,0.0703,-15.492,0.029,0.751,105.732
Things We Said Today - Remastered,The Beatles,155333,0.551,0.575,0.239,0.0,0.112,-8.208,0.0332,0.516,137.054
#9 Dream - Remastered 2010,John Lennon,286813,0.406,0.597,0.0744,0.0133,0.254,-11.745,0.0336,0.478,115.474
When Something Is Wrong With My Baby,Sam & Dave,195866,0.444,0.295,0.474,0.000715,0.0929,-9.098,0.0296,0.245,137.529
Let's Go,The Cars,213173,0.651,0.83,0.00824,0.0429,0.0837,-8.785,0.0316,0.917,131.282
Uncertain Smile,The The,411973,0.593,0.931,0.0322,0.588,0.0255,-5.232,0.0517,0.755,142.747
History,The Verve,326000,0.325,0.601,0.0795,0.0,0.0883,-9.901,0.0363,0.106,134.225
It Doesn't Matter Anymore,Buddy Holly,123026,0.619,0.441,0.659,0.0,0.165,-10.309,0.0299,0.897,115.805
Everybody Is a Star - Single Version,Sly & The Family Stone,184160,0.436,0.365,0.824,0.0354,0.657,-12.641,0.0332,0.507,175.837
Achilles Last Stand - 1990 Remaster,Led Zeppelin,622000,0.332,0.886,0.00641,0.131,0.205,-8.4,0.0535,0.326,146.039
El amor después del amor,Fito Paez,311893,0.641,0.797,0.00357,3.25e-05,0.0279,-6.536,0.0431,0.655,94.884
Pink Turns to Blue,Hüsker Dü,162933,0.242,0.96,5.09e-05,0.392,0.12,-11.85,0.0638,0.323,153.439
One Headlight,The Wallflowers,312587,0.702,0.539,0.000655,0.005,0.0618,-8.968,0.0277,0.752,107.531
Pure Shores,All Saints,268746,0.631,0.664,0.0498,0.00042,0.0696,-9.197,0.0242,0.407,100.618
The Age Of The Understatement,The Last Shadow Puppets,189560,0.383,0.868,0.00114,3.51e-06,0.353,-6.222,0.0847,0.546,147.267
Funky Drummer,James Brown,423573,0.672,0.607,0.557,0.197,0.0855,-13.941,0.152,0.559,92.604
I Used to Love H.E.R.,Common,278706,0.74,0.445,0.074,3.4e-05,0.424,-13.222,0.397,0.593,91.745
Giving Up The Gun,Vampire Weekend,286160,0.642,0.875,0.00136,0.000192,0.0596,-5.215,0.0532,0.735,134.022
Brand New Cadillac,Vince Taylor & His Playboys,157066,0.581,0.833,0.563,5.37e-05,0.256,-5.479,0.0482,0.743,83.529
Doctor My Eyes,Jackson Browne,199906,0.48,0.626,0.266,5.7e-05,0.0857,-8.406,0.0294,0.542,75.63
Country Blues,Dock Boggs,179533,0.556,0.288,0.992,0.0,0.292,-12.225,0.0529,0.766,74.956
"Waiting In Vain - 12"" Single Version",Bob Marley & The Wailers,355013,0.806,0.623,0.338,0.000984,0.0834,-7.215,0.119,0.953,79.018
New York City Cops,The Strokes,210746,0.522,0.853,0.071,2.82e-05,0.343,-7.66,0.0362,0.455,107.943
Optimo,Liquid Liquid,160693,0.7,0.964,0.0027,0.755,0.18,-6.307,0.0479,0.776,123.345
Silly Love Songs - Remastered 1993,Wings,352933,0.739,0.335,0.184,0.244,0.131,-16.23,0.0346,0.818,125.11
Stonemilker,Björk,409328,0.115,0.253,0.132,0.00552,0.1,-13.573,0.0357,0.047,61.251
Club Foot,Kasabian,214373,0.238,0.919,0.0257,2.31e-05,0.0914,-6.893,0.0816,0.123,101.752
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,298760,0.383,0.662,0.165,0.0,0.248,-5.162,0.0333,0.138,121.154
Cats in the Cradle,Harry Chapin,212405,0.463,0.484,0.456,0.0,0.125,-13.259,0.0395,0.513,77.521
The Wallflower,Etta James,187706,0.662,0.498,0.636,6.99e-05,0.334,-8.193,0.0607,0.677,130.391
You've Got a Friend,James Taylor,268706,0.695,0.282,0.681,0.0267,0.0767,-15.359,0.0295,0.445,91.681
Hello Walls,Faron Young,146840,0.62,0.406,0.722,6.73e-06,0.114,-10.421,0.0281,0.695,101.489
Getting Better - Remastered,The Beatles,168120,0.632,0.471,0.313,5.08e-06,0.0712,-7.887,0.0348,0.764,121.672
Rooster,Alice In Chains,376226,0.254,0.628,0.153,0.00202,0.123,-5.721,0.0274,0.148,146.004
Blue 7,Sonny Rollins,677706,0.548,0.344,0.549,0.0152,0.11,-13.479,0.0363,0.441,133.223
It Will Stand - 2002 Digital Remaster; 24 Bit Mastering,The Showmen,142133,0.67,0.507,0.717,0.0,0.182,-8.274,0.0387,0.847,145.581
Rock Me Baby,B.B. King,179962,0.841,0.285,0.6,0.00208,0.0804,-13.804,0.0398,0.759,89.745
Broken English,Marianne Faithfull,275493,0.829,0.487,0.065,0.00658,0.205,-11.798,0.0483,0.961,122.359
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,158040,0.647,0.745,0.00397,0.0,0.059,-6.503,0.0321,0.845,108.997
Fields Of Gold,Sting,222120,0.651,0.339,0.372,0.0141,0.0739,-11.917,0.0246,0.32,103.996
Sex & Candy,Marcy Playground,173493,0.67,0.558,0.238,0.0,0.106,-9.159,0.0251,0.63,80.511
Delia's Gone,Johnny Cash,121346,0.731,0.481,0.78,0.0,0.0821,-8.799,0.0327,0.777,78.144
Isolation - 2007 Remaster,Joy Division,175093,0.544,0.783,0.048,0.00734,0.0917,-8.12,0.054,0.697,151.522
Snowbird,Anne Murray,130493,0.538,0.525,0.34,0.000163,0.152,-8.844,0.0339,0.867,104.7
Nightclubbing,Iggy Pop,254826,0.397,0.515,0.154,0.437,0.0668,-14.213,0.0363,0.592,138.483
If You've Got the Money I've Got the Time,Lefty Frizzell,173933,0.819,0.439,0.737,0.000522,0.102,-11.729,0.0358,0.909,105.082
Jenny Take a Ride,Mitch Ryder and The Detroit Wheels,204653,0.651,0.736,0.0718,1.16e-06,0.138,-8.177,0.0445,0.817,99.395
Warm Heart Of Africa,The Very Best,227586,0.84,0.727,0.00683,3.11e-06,0.283,-6.021,0.102,0.907,106.009
Rock You Like A Hurricane,Scorpions,253440,0.456,0.887,0.00891,0.000432,0.208,-3.434,0.053,0.653,126.053
Everybody Loves the Sunshine,Roy Ayers Ubiquity,240933,0.591,0.578,0.165,2.83e-06,0.164,-10.313,0.0351,0.691,80.307
Swing To Bop,Charlie Christian,540200,0.731,0.459,0.967,0.87,0.112,-13.566,0.0503,0.875,110.457
Sara,Fleetwood Mac,382373,0.741,0.388,0.384,0.0235,0.0933,-16.693,0.031,0.589,126.819
It's All About The Benjamins,Diddy,278200,0.762,0.704,0.0485,3.9e-06,0.134,-3.498,0.249,0.709,89.673
Freight Train - Remastered,Elizabeth Cotten,163488,0.38,0.298,0.969,0.0199,0.118,-13.793,0.0288,0.46,96.968
Long distance call,Phoenix,184680,0.749,0.479,0.0204,5.31e-06,0.091,-5.542,0.0489,0.652,105.013
The Bends,Radiohead,246200,0.288,0.757,0.0117,0.14,0.363,-8.065,0.0652,0.311,89.694
I Have Been to the Mountain,Kevin Morby,194186,0.387,0.886,0.0953,0.431,0.126,-5.713,0.0674,0.567,187.804
Poor Poor Pitiful Me,Warren Zevon,185560,0.608,0.804,0.0832,0.00337,0.582,-7.911,0.0256,0.962,131.523
Whatta Man (feat. En Vogue) - EP Version,Salt-N-Pepa,296213,0.73,0.664,0.0941,6.23e-05,0.137,-8.558,0.116,0.947,173.232
April Skies,The Jesus and Mary Chain,241360,0.545,0.685,0.00381,0.391,0.153,-7.848,0.0339,0.673,118.513
Oh (feat. Ludacris),Ciara,256346,0.8,0.496,0.000298,0.0,0.0697,-7.135,0.0506,0.357,128.29
I Only Want To Be With You - Mono,Dusty Springfield,155333,0.604,0.743,0.429,0.0,0.169,-7.659,0.0305,0.962,132.721
I Shall Be Released - Remastered,The Band,199293,0.46,0.401,0.105,0.0,0.062,-11.831,0.0332,0.503,127.624
In My View,Young Fathers,195445,0.402,0.758,0.174,0.764,0.0592,-7.557,0.366,0.442,130.579
To Hell With Poverty,Gang Of Four,299600,0.408,0.885,0.000456,0.0271,0.278,-9.635,0.149,0.231,134.524
"Mercy, Mercy, Mercy - Live",The Cannonball Adderley Quintet,310600,0.546,0.402,0.721,0.0164,0.956,-13.398,0.0528,0.373,84.701
Blackwater Side,Anne Briggs,234040,0.368,0.0489,0.981,0.0191,0.105,-19.238,0.0424,0.233,185.676
Behind Closed Doors,Charlie Rich,174826,0.472,0.338,0.85,0.000221,0.0761,-11.196,0.0273,0.522,85.66
Partition,Beyoncé,319466,0.412,0.441,0.0296,0.0726,0.306,-11.523,0.291,0.174,185.571
Johnny Remember Me,John Leyton,160120,0.342,0.77,0.236,0.0,0.11,-7.919,0.0822,0.494,144.19
Coming Home,Leon Bridges,206386,0.427,0.465,0.461,5.52e-05,0.154,-6.595,0.0291,0.458,112.137
APESHIT,The Carters,264853,0.706,0.785,0.0131,0.0,0.164,-6.475,0.271,0.377,160.033
Small Town,John Mellencamp,221200,0.661,0.754,0.283,0.00763,0.323,-10.098,0.032,0.753,123.144
Travelin' Man,Ricky Nelson,143120,0.731,0.441,0.727,0.0,0.16,-9.454,0.0317,0.897,122.837
It Had To Be You,Paul Weston Orch,189599,0.511,0.0457,0.981,5.24e-06,0.0842,-15.992,0.0485,0.341,96.441
Joy Spring,Clifford Brown,410666,0.658,0.332,0.707,0.757,0.114,-12.527,0.0612,0.7,81.948
GMF,John Grant,313840,0.467,0.48,0.232,0.0,0.112,-9.144,0.0273,0.379,141.934
All Down The Line,The Rolling Stones,229493,0.519,0.973,0.39,0.978,0.784,-3.044,0.0562,0.822,140.221
Come Pick Me Up,Ryan Adams,318102,0.581,0.271,0.0703,0.0048,0.187,-10.963,0.0352,0.269,123.625
My Number,Foals,240533,0.639,0.744,0.0319,0.000458,0.466,-8.377,0.0368,0.825,128.047
Ball N' Chain,Big Mama Thornton,271200,0.433,0.372,0.353,0.000438,0.286,-13.595,0.0361,0.395,77.294
Warszawa - 1999 Remaster,David Bowie,383666,0.0916,0.328,0.556,0.805,0.0964,-12.991,0.0371,0.038,80.812
Give Him A Great Big Kiss,The Shangri-Las,127920,0.631,0.813,0.367,8.24e-06,0.209,-6.067,0.132,0.807,83.746
London's Burning - Remastered,The Clash,131280,0.556,0.822,0.0458,0.00134,0.101,-6.082,0.123,0.792,147.282
Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,Billie Holiday,190800,0.484,0.0823,0.98,2.47e-06,0.159,-11.273,0.0364,0.191,127.089
Out Of Control,The Chemical Brothers,439760,0.551,0.933,0.000622,0.086,0.0851,-4.361,0.0333,0.417,131.964
Boots of Spanish Leather,Bob Dylan,277106,0.615,0.114,0.926,4e-06,0.166,-17.285,0.0357,0.401,101.189
In My Time of Dying - 1990 Remaster,Led Zeppelin,665600,0.33,0.843,0.137,0.00586,0.199,-10.221,0.0581,0.474,101.855
The Reeling,Passion Pit,287906,0.597,0.777,0.000356,0.00113,0.169,-5.638,0.0668,0.776,111.999
Sleepyhead,Passion Pit,175080,0.575,0.971,0.425,3.4e-06,0.105,-3.261,0.11,0.764,106.052
Morning Glory,Oasis,303506,0.332,0.985,0.00852,0.000253,0.436,-1.701,0.0908,0.147,136.996
Time Has Come Today,The Chambers Brothers,661866,0.448,0.664,0.0151,0.475,0.066,-9.439,0.107,0.309,127.006
Red River Rock - Original,Johnny & The Hurricanes,133250,0.366,0.835,0.626,0.00767,0.204,-9.345,0.1,0.775,151.635
The Past Is A Grotesque Animal,of Montreal,713066,0.454,0.944,0.0962,0.227,0.565,-4.855,0.0434,0.399,153.007
Antisocial,TRUST,309266,0.448,0.791,0.116,1.16e-05,0.122,-11.673,0.0581,0.563,90.127
Summer Girl - Bonus Track,HAIM,205026,0.512,0.544,0.356,0.0159,0.169,-7.953,0.226,0.616,99.927
Pretty Ballerina,The Left Banke,158240,0.568,0.409,0.815,4.66e-06,0.125,-14.088,0.0328,0.6,115.939
All That She Wants,Ace of Base,211533,0.801,0.641,0.00444,3.54e-05,0.105,-9.097,0.0565,0.829,93.773
There There My Dear - 2000 Remaster,Dexys Midnight Runners,212920,0.621,0.847,0.356,0.000312,0.072,-8.961,0.412,0.199,148.353
Party Lights,Claudine Clark,143133,0.645,0.6,0.0661,0.0,0.101,-7.948,0.238,0.701,135.593
Little Johnny Jewel - Parts 1 & 2,Television,426080,0.573,0.729,0.0575,0.139,0.0948,-8.207,0.0423,0.568,121.353
Fine And Mellow,Billie Holiday,193840,0.505,0.105,0.946,0.0,0.125,-13.448,0.0372,0.343,78.532
Nightporter - Remastered 2003,Japan,419173,0.521,0.143,0.907,0.299,0.124,-15.386,0.031,0.0864,109.562
The Ice Of Boston,Dismemberment Plan,295306,0.5,0.663,0.00866,0.000105,0.105,-7.976,0.217,0.744,109.651
You Should Be Dancing,Bee Gees,257560,0.682,0.781,0.0118,0.195,0.317,-8.512,0.0328,0.962,123.021
Heartbeats,José González,160240,0.554,0.15,0.974,0.735,0.0698,-16.746,0.0338,0.314,87.956
Sex Bomb,Flipper,471373,0.235,0.994,0.104,0.858,0.386,-4.791,0.139,0.094,129.546
Frenesi,Artie Shaw,186125,0.49,0.15,0.976,0.895,0.0923,-17.128,0.0551,0.824,148.637
The Box - Part 2,Orbital,359586,0.603,0.72,0.0075,0.936,0.096,-12.956,0.0295,0.66,140.991
Ooh Poo Pah Doo (Part 1) - 2002 Digital Remaster; 24 Bit Mastering,Jessie Hill,139333,0.733,0.642,0.0091,0.0,0.322,-10.131,0.0615,0.705,131.56
Down Down,Status Quo,230333,0.368,0.783,0.177,1.08e-05,0.271,-10.235,0.0313,0.281,90.175
Sick of Myself,Matthew Sweet,218560,0.433,0.829,0.0126,2.36e-05,0.084,-7.715,0.044,0.822,122.733
The Gambler,Kenny Rogers,214880,0.671,0.501,0.342,0.0,0.194,-13.119,0.0594,0.86,87.04
Knoxville Girl,The Louvin Brothers,233346,0.647,0.319,0.684,0.0,0.135,-10.002,0.0346,0.8,179.272
I Believe I Can Fly,R. Kelly,320560,0.544,0.473,0.163,0.0,0.112,-5.875,0.0297,0.0574,120.459
Angel Of Harlem,U2,229266,0.519,0.694,0.104,2.3e-06,0.111,-10.792,0.0264,0.928,102.718
Adore,Savages,303133,0.337,0.402,0.351,0.497,0.0948,-11.394,0.0452,0.0798,98.559
The Battle Of New Orleans,Johnny Horton,151693,0.709,0.824,0.796,0.0,0.153,-9.663,0.131,0.915,177.301
Truckin' - 2013 Remaster,Grateful Dead,306973,0.644,0.623,0.389,0.0202,0.0617,-13.862,0.059,0.676,126.553
"American Skin (41 Shots) - Live at Madison Square Garden, New York, NY - June/July 2000",Bruce Springsteen,465000,0.476,0.451,0.125,6.66e-06,0.524,-7.897,0.0269,0.0745,103.016
The Way It Is,Bruce Hornsby,297853,0.582,0.689,0.607,0.0571,0.145,-12.203,0.0277,0.531,111.166
Miura,Metro Area,402600,0.819,0.629,0.00771,0.87,0.107,-7.458,0.0425,0.558,123.017
D'you Know What I Mean?,Oasis,462493,0.225,0.875,7.17e-05,7.86e-05,0.0996,-3.278,0.0458,0.237,80.131
Man Who Shot Liberty Valance,Gene Pitney,178826,0.586,0.573,0.581,0.0,0.143,-8.116,0.0509,0.79,87.995
"Stay (Faraway, So Close!)",U2,298400,0.561,0.499,0.202,0.0327,0.0709,-12.24,0.0254,0.749,94.157
"James Bond Theme (From ""Dr. No."")",John Barry Orchestra,106933,0.449,0.483,0.854,0.00914,0.118,-12.753,0.033,0.137,142.542
T.N.T.,AC/DC,214666,0.754,0.759,0.153,0.000108,0.101,-5.218,0.302,0.435,126.366
Ambling Alp,Yeasayer,235480,0.588,0.86,0.0104,4.13e-05,0.18,-6.458,0.0936,0.426,107.937
Spoon,CAN,184493,0.726,0.814,0.0625,0.00737,0.251,-9.146,0.0393,0.879,138.339
"Gone, Gone, Gone (Done Moved On)",Robert Plant,212840,0.495,0.665,0.103,0.273,0.168,-7.635,0.0385,0.433,190.58
The Ghetto,Donny Hathaway,413773,0.739,0.523,0.37,0.194,0.177,-10.462,0.0303,0.826,113.939
Cotton Tail,Duke Ellington,189266,0.651,0.755,0.858,0.897,0.0884,-8.347,0.0775,0.707,119.702
Spanish Stroll,Mink DeVille,219693,0.747,0.448,0.422,0.00194,0.123,-15.043,0.0646,0.947,128.582
I Blame Myself,Sky Ferreira,237040,0.692,0.739,0.35,0.0,0.32,-4.122,0.0374,0.819,115.014
I Can Help,Billy Swan,237826,0.458,0.653,0.0596,0.00139,0.109,-8.829,0.0328,0.638,125.321
"Anyway, Anyhow, Anywhere",The Who,160733,0.328,0.712,0.653,0.0447,0.117,-10.287,0.0444,0.537,139.137
Highway Patrolman,Bruce Springsteen,336400,0.478,0.0423,0.778,3.58e-05,0.109,-20.078,0.0306,0.192,104.267
"You're The First, The Last, My Everything",Barry White,206936,0.633,0.542,0.000679,0.00434,0.0754,-12.318,0.0316,0.879,130.314
Sisters of Mercy,Leonard Cohen,215573,0.43,0.241,0.842,2.83e-06,0.177,-13.822,0.0357,0.414,136.27
So Hot You're Hurting My Feelings,Caroline Polachek,183861,0.795,0.576,0.0787,1.01e-05,0.121,-4.971,0.0289,0.847,111.975
Electric Relaxation,A Tribe Called Quest,243800,0.852,0.418,0.246,0.35,0.126,-12.823,0.42,0.651,98.237
My Friend Dario,Vitalic,217280,0.605,0.963,0.000626,0.708,0.862,-5.05,0.0488,0.898,133.277
State Trooper,Bruce Springsteen,191293,0.693,0.0681,0.898,0.0191,0.127,-19.554,0.0433,0.599,120.641
Money City Maniacs,Sloan,233916,0.452,0.694,0.00966,0.000334,0.357,-5.266,0.044,0.385,126.22
Black And Blue,Louis Armstrong,187240,0.673,0.202,0.992,0.0104,0.31,-11.312,0.0519,0.434,99.563
Throw Your Arms Around Me,Hunters & Collectors,233493,0.57,0.765,0.156,0.00528,0.317,-5.782,0.0264,0.93,112.966
The Bells - Blue Potential Version,Jeff Mills,343080,0.666,0.689,0.0352,0.142,0.558,-15.135,0.0788,0.219,132.026
Reptilia,The Strokes,214853,0.487,0.657,0.000605,0.657,0.102,-5.11,0.0338,0.774,158.028
A Fool In Love,Ike & Tina Turner,172133,0.578,0.462,0.611,6.78e-05,0.317,-8.17,0.0349,0.711,127.909
A Night In Tunisia,Charlie Parker Septet,185826,0.456,0.392,0.871,0.0193,0.112,-11.925,0.0564,0.674,173.307
It's Oh So Quiet,Björk,218773,0.459,0.127,0.618,0.0,0.0708,-14.191,0.0544,0.234,128.098
Carnival,The Cardigans,219200,0.532,0.662,0.0196,8e-05,0.425,-8.093,0.0314,0.368,110.698
Talking Straight,Rolling Blackouts Coastal Fever,224525,0.362,0.784,0.000527,0.569,0.0975,-4.825,0.0387,0.601,85.732
Makes No Sense At All,Hüsker Dü,166026,0.32,0.934,0.0968,8.6e-05,0.383,-10.0,0.049,0.641,160.378
Delta Lady,Joe Cocker,170160,0.508,0.563,0.414,0.0,0.451,-10.974,0.0506,0.805,135.927
This Mess We're In,PJ Harvey,237066,0.541,0.563,0.026,0.21,0.0942,-9.706,0.0278,0.416,126.34
Isis,Bob Dylan,418293,0.515,0.717,0.126,0.0,0.186,-7.142,0.0343,0.883,147.956
Shake Your Rump,Beastie Boys,198253,0.888,0.699,0.0159,0.000306,0.111,-10.425,0.164,0.697,103.066
Ain't That Peculiar,Marvin Gaye,179693,0.563,0.776,0.18,0.0,0.618,-9.391,0.0414,0.826,81.129
Take Care,Drake,277386,0.629,0.515,0.0267,1.22e-05,0.0888,-10.358,0.265,0.299,121.845
Quelqu'un m'a dit,Carla Bruni,166226,0.565,0.412,0.86,0.00158,0.114,-10.73,0.0489,0.409,133.485
Keep A Knockin,Little Richard,137066,0.317,0.932,0.0233,2.35e-06,0.0767,-8.738,0.0875,0.951,170.308
Hold What You've Got,Joe Tex,189853,0.378,0.308,0.775,0.0,0.118,-12.57,0.0701,0.322,203.081
Doowutchyalike,Digital Underground,533306,0.6,0.731,0.0312,9.22e-05,0.117,-8.533,0.498,0.791,217.591
The Hand That Feeds,Nine Inch Nails,211680,0.586,0.989,0.0168,0.000828,0.104,-4.407,0.0738,0.507,128.002
Take A Chance On Me,ABBA,243933,0.687,0.68,0.182,0.0,0.274,-7.976,0.0256,0.924,107.041
Electric Avennue,The Harmony Group,192146,0.949,0.408,0.409,0.000572,0.544,-14.377,0.2,0.841,120.961
Against The Wind - Remastered,Bob Seger,333533,0.676,0.741,0.383,0.15,0.393,-6.341,0.0248,0.734,109.657
Roadhouse Blues,The Doors,243826,0.623,0.633,0.336,4.6e-05,0.147,-8.212,0.0304,0.895,121.119
"Can't Get Enough Of Your Love, Babe",Barry White,274000,0.731,0.777,0.132,0.0611,0.0793,-7.563,0.0684,0.772,111.842
Streets of Your Town,The Go-Betweens,216226,0.617,0.74,0.0388,0.00434,0.297,-11.108,0.0276,0.777,131.835
Showroom Dummies - 2009 Remaster,Kraftwerk,375320,0.91,0.954,0.269,0.449,0.0948,-6.75,0.0598,0.926,125.119
London Is The Place For Me,Lord Kitchener,167666,0.696,0.35,0.904,5.16e-06,0.238,-17.151,0.157,0.774,108.211
Death Letter Blues,Son House,259160,0.803,0.288,0.865,0.0593,0.0833,-15.418,0.0629,0.865,115.685
Another Saturday Night,Sam Cooke,160000,0.781,0.667,0.427,0.0,0.0903,-7.686,0.0522,0.966,123.105
Hell Is Round The Corner,Tricky,227066,0.55,0.535,0.304,0.00605,0.193,-12.269,0.193,0.491,119.895
Starlight,Muse,240213,0.55,0.874,0.000436,1.02e-05,0.206,-4.046,0.0321,0.318,121.61
Only Women Bleed,Alice Cooper,210933,0.334,0.476,0.535,0.019,0.278,-8.497,0.0308,0.189,147.532
Loose,The Stooges,213026,0.362,0.896,3e-06,0.79,0.355,-6.812,0.0338,0.713,136.083
Slippin' And Slidin' (Peepin' And Hidin'),Little Richard,159493,0.523,0.842,0.686,0.000353,0.281,-8.082,0.0559,0.964,175.782
Baby Let's Play House,Elvis Presley,138800,0.675,0.58,0.579,0.0877,0.143,-12.835,0.046,0.938,103.968
Sing,Travis,228800,0.334,0.897,0.000265,1.22e-05,0.0583,-4.989,0.0435,0.298,163.349
La Bamba,Los Lobos,174186,0.506,0.764,0.144,0.00025,0.247,-12.239,0.046,0.868,156.336
Country Grammar (Hot Shit),Nelly,287000,0.865,0.664,0.00689,0.0,0.142,-6.822,0.108,0.565,162.831
Round and Round,Ratt,265893,0.628,0.934,0.00682,1.11e-05,0.0852,-6.026,0.0527,0.491,126.538
C.C. Rider,Chuck Willis,150200,0.694,0.608,0.621,0.0,0.106,-5.946,0.0469,0.57,140.801
Nancy Boy - 2006 Remastered Version,Placebo,199386,0.444,0.957,0.000112,0.024,0.124,-6.266,0.0463,0.785,89.862
Surf Solar,Fuck Buttons,634773,0.345,0.931,9.2e-06,0.816,0.371,-7.913,0.0512,0.0384,129.998
Never Gonna Give You Up,Rick Astley,213453,0.728,0.974,0.0936,1.54e-05,0.0855,-8.134,0.0408,0.923,113.325
Astounded,Bran Van 3000,356560,0.664,0.839,0.043,0.00021,0.106,-4.601,0.0669,0.695,143.029
"William, It Was Really Nothing - 2008 Remaster",The Smiths,131960,0.525,0.943,0.0382,0.000945,0.371,-4.876,0.0425,0.513,130.678
The Honeydripper,Joe Liggins & The Honeydrippers,188426,0.649,0.318,0.852,0.205,0.0973,-14.009,0.037,0.648,175.897
True Colors,Cyndi Lauper,227600,0.397,0.207,0.701,3.07e-05,0.116,-13.155,0.0331,0.268,171.282
The Blower's Daughter,Damien Rice,288466,0.334,0.192,0.135,9.77e-05,0.427,-13.983,0.0337,0.0775,133.198
Goin' Back,The Byrds,205773,0.492,0.46,0.247,8.67e-06,0.0804,-9.282,0.0275,0.562,116.374
Breakdown,Tom Petty and the Heartbreakers,163893,0.625,0.35,0.398,6.76e-05,0.123,-8.395,0.0436,0.69,113.688
Carry on Wayward Son,Kansas,323000,0.482,0.786,0.00321,8.88e-05,0.446,-5.735,0.032,0.793,126.755
Boplicity,Miles Davis,181988,0.488,0.176,0.932,0.00345,0.0935,-15.979,0.0399,0.497,135.593
Shame - Single Version,"Evelyn ""Champagne"" King",178213,0.727,0.664,0.0746,0.000185,0.0511,-11.403,0.0364,0.897,132.098
Do You Remember Rock 'n' Roll Radio? - 2002 Remaster,Ramones,229466,0.302,0.961,0.445,0.00268,0.823,-5.619,0.116,0.659,152.366
Ain't No Love In The Heart Of The City,"Bobby ""Blue"" Bland",231266,0.49,0.71,0.248,0.0193,0.13,-7.025,0.0557,0.667,159.858
Les playboys - Remastered,Jacques Dutronc,186680,0.631,0.63,0.366,1.31e-06,0.0504,-5.248,0.0346,0.633,111.315
Norway,Beach House,234800,0.46,0.485,0.225,0.0168,0.101,-6.499,0.0284,0.171,118.638
Ms. Fat Booty,Mos Def,223515,0.781,0.589,0.148,0.0,0.166,-4.827,0.21,0.864,90.437
